Mixed,Bichon Frise,,Highland Pony,,,,,,,,,,,,,,,,,
Munchkin,Black Lab,,Holsteiner,,,,,,,,,,,,,,,,,
Norwegian Forest Cat,Black mouth cur,,Hungarian,,,,,,,,,,,,,,,,,
Not Known,Black russian terrier,,Icelandic,,,,,,,,,,,,,,,,,
Ocicat,Bloodhound,,Irish Draught,,,,,,,,,,,,,,,,,
Oriental,Blue Heeler,,Kiger Mustang,,,,,,,,,,,,,,,,,
Oriental shorthair,Blue Tick Beagle,,Kladruber,,,,,,,,,,,,,,,,,
Other Breed,Bluetick Hound,,Lipizzan,,,,,,,,,,,,,,,,,
Persian,Boerbel,,Lusitano,,,,,,,,,,,,,,,,,
Persian-himalayan,Blognese,,Miniature,,,,,,,,,,,,,,,,,
Pixie Bob,Border Collie,,Missouri Fox Trotter,,,,,,,,,,,,,,,,,
Ragdoll,Border Terrier,,Morgan,,,,,,,,,,,,,,,,,
Rex,Borzoi,,Morgan Horse,,,,,,,,,,,,,,,,,
Russian Blue,Boston Terrier,,Moroccan Barb,,,,,,,,,,,,,,,,,
Savannah Cat,Bouvier,,Mule,,,,,,,,,,,,,,,,,
Scottish Fold,Bouvier des flandres,,National Show,,,,,,,,,,,,,,,,,
shorthair chincilla,Boxer,,Newfoundland Pony,,,,,,,,,,,,,,,,,
Siamese,Boykin Spaniel,,Norwegian Fjord,,,,,,,,,,,,,,,,,
Siberian Forest Cat,Brazillian fila,,Oldenburg,,,,,,,,,,,,,,,,,
Singapura,Briard,,Other-horse,,,,,,,,,,,,,,,,,
Snow Leopard,Brittany Spaniel,,Paint,,,,,,,,,,,,,,,,,
Snowshoe,Brussels Griffon,,Palomino,,,,,,,,,,,,,,,,,
Somalie,Bull Terrier,,Paso Fino,,,,,,,,,,,,,,,,,
Sphinx,Bull Terrier-Miniature,,Percheron,,,,,,,,,,,,,,,,,
Sphynx,Bulldog,,Peruvian Paso,,,,,,,,,,,,,,,,,
Tabby,Bullmastiff,,Pinto,,,,,,,,,,,,,,,,,
Tiger,Cairn Terrier,,Pony of the Americas,,,,,,,,,,,,,,,,,
Tonkinese,Canaan,,Rocky Mountain,,,,,,,,,,,,,,,,,
Turkish Angora,Canary dog,,Russian Riding,,,,,,,,,,,,,,,,,
Turkish van,Canecorso,,Russian Trotter,,,,,,,,,,,,,,,,,
Tuxedo,Carolina Dog,,Selle Franais,,,,,,,,,,,,,,,,,
,Cathoula,,Shetland Pony,,,,,,,,,,,,,,,,,
,Catahould leopard dog,,Shire,,,,,,,,,,,,,,,,,
,caucasian ovtchark,,Spanish Barb,,,,,,,,,,,,,,,,,
,Cavalier King Charles,,Spanish Mustang,,,,,,,,,,,,,,,,,
,Cavalier King Charles spaniel,,Spanish-Norman,,,,,,,,,,,,,,,,,
,Central Asia Oshaka,,Spotted Saddle,,,,,,,,,,,,,,,,,
,Cesky terrier,,Standardbred,,,,,,,,,,,,,,,,,
,Chanille,,Suffolk Punch,,,,,,,,,,,,,,,,,
,Chesapeak Bay Retriever,,Tennessee Walking,,,,,,,,,,,,,,,,,
,Chihuahua,,Thoroughbred,,,,,,,,,,,,,,,,,
,chihuahua-long haired,,Trakehner,,,,,,,,,,,,,,,,,
,Chinese Crested Dog,,Unknown Horse,,,,,,,,,,,,,,,,,
,Chinese crested powder puff,,Welsh Ponies,,,,,,,,,,,,,,,,,
,Chinese pug,,Welsh Cobs,,,,,,,,,,,,,,,,,
,Chinook,,Zebra,,,,,,,,,,,,,,,,,
,Chocolate Lab,,,,,,,,,,,,,,,,,,,
,Chow,,,,,,,,,,,,,,,,,,,
,Chow chow,,,,,,,,,,,,,,,,,,,
,Chow mix,,,,,,,,,,,,,,,,,,,
,Clumber Spaniel,,,,,,,,,,,,,,,,,,,
,Cockapoo,,,,,,,,,,,,,,,,,,,
,Cocker Spaniel,,,,,,,,,,,,,,,,,,,
,Cockerspaniel-miniature,,,,,,,,,,,,,,,,,,,
,Collie,,,,,,,,,,,,,,,,,,,
,collie-smooth coated,,,,,,,,,,,,,,,,,,,
,coonhound,,,,,,,,,,,,,,,,,,,
,Coonhound black and tan,,,,,,,,,,,,,,,,,,,
,Coonhound blue tick,,,,,,,,,,,,,,,,,,,
,coonhound redbone,,,,,,,,,,,,,,,,,,,
,Corgi,,,,,,,,,,,,,,,,,,,
,Corso,,,,,,,,,,,,,,,,,,,
,Coton De Tulear,,,,,,,,,,,,,,,,,,,
,Curly Coated Retriever,,,,,,,,,,,,,,,,,,,
,Dachshund,,,,,,,,,,,,,,,,,,,
,Dachshund long haired,,,,,,,,,,,,,,,,,,,
,Dachshund miiature,,,,,,,,,,,,,,,,,,,
,Dachshund miniature long haired,,,,,,,,,,,,,,,,,,,
